text,category
Water leakage in Block C washroom,plumbing
Laundry service delay at Hostel 1,hostel
Pipe burst near Workshop building,plumbing
Laundry service delay at Reading Room,hostel
General maintenance request for Girls Hostel,other
Emergency exit blocked near Reading Room,safety
Physical assault and bullying incident reported in Block B,safety
Washroom flooding in Auditorium area,plumbing
Physical assault and bullying incident reported in Workshop,safety
Room maintenance issue reported in Hostel 1,hostel
No network connectivity in Hostel 1 hostel room,wifi
No network connectivity in Block B hostel room,wifi
Light is not working in Library,electrical
Fan stopped working in Lecture Hall 1 room,electrical
Noise disturbance in Block C hostel at night,hostel
Internet connection is unstable in Science Block,wifi
Furniture arrangement problem in Science Block,other
Water is leaking from the ceiling in Block A,plumbing
Bathroom drain is blocked in Administrative Block,plumbing
Campus signage missing near Student Center,other
Water leakage in Workshop washroom,plumbing
Electrical spark seen near Reading Room,electrical
Notice board is outdated at Parking Area,other
No water supply in Block D hostel block,plumbing
Hostel gate closes too early at Library,hostel
Slow internet speed in Lecture Hall 2 computer lab,wifi
Short circuit smell near Lecture Hall 2,electrical
Slow internet speed in Medical Center computer lab,wifi
Emergency exit blocked near Laboratory,safety
No network connectivity in Library hostel room,wifi
Students are ragging and beating a junior in Main Building,safety
Hostel room cleanliness issue in Sports Complex,hostel
Electrical spark seen near Lecture Hall 2,electrical
Security concern reported near Student Center,safety
Short circuit smell near Auditorium,electrical
Router issue near Sports Complex with no internet access,wifi
Furniture damaged in Auditorium hostel room,hostel
Main switch issue reported at Hostel 2,electrical
AC is not cooling in Computer Lab,electrical
Furniture damaged in Reading Room hostel room,hostel
Hostel room cleanliness issue in Block B,hostel
No water supply in Hostel 1 hostel block,plumbing
Campus signage missing near Student Center,other
Students fighting and harassing others in Computer Lab washroom,safety
Slow internet speed in Student Center computer lab,wifi
Fan stopped working in Block C room,electrical
AC is not cooling in Hostel 2,electrical
Fan stopped working in Hostel 2 room,electrical
Room maintenance issue reported in Sports Complex,hostel
Canal or drainage complaint around Main Building,other
Router issue near Block D with no internet access,wifi
Slow internet speed in Engineering Block computer lab,wifi
Fan stopped working in Parking Area room,electrical
Pipe burst near Reading Room building,plumbing
Router issue near Hostel 1 with no internet access,wifi
Notice board is outdated at Block C,other
Internet connection is unstable in Business Block,wifi
Security guard missing at Workshop gate,safety
General service request from Business Block,other
Poor lighting and unsafe path near Medical Center,safety
Light is not working in Hostel 1,electrical
The campus WiFi keeps disconnecting in Auditorium,wifi
Main switch issue reported at Parking Area,electrical
Bathroom drain is blocked in Engineering Block,plumbing
Library book request issue from Block C,other
Water leakage in Block A washroom,plumbing
Router issue near Girls Hostel with no internet access,wifi
Canal or drainage complaint around Hostel 2,other
Internet connection is unstable in Block A,wifi
Furniture arrangement problem in Block C,other
Poor lighting and unsafe path near Administrative Block,safety
Main switch issue reported at Computer Lab,electrical
Emergency exit blocked near Girls Hostel,safety
Pipe burst near Science Block building,plumbing
Students fighting and harassing others in Lecture Hall 2 washroom,safety
Slow internet speed in Main Building computer lab,wifi
Internet connection is unstable in Main Building,wifi
Physical assault and bullying incident reported in Lecture Hall 2,safety
Fan stopped working in Canteen room,electrical
Students are ragging and beating a junior in Reading Room,safety
Parking issue near Student Center,other
Unsafe wiring exposed near Lecture Hall 2,safety
Hostel gate closes too early at Administrative Block,hostel
Light is not working in Boys Hostel,electrical
Internet connection is unstable in Sports Complex,wifi
Main switch issue reported at Block D,electrical
Hostel gate closes too early at Science Block,hostel
Security guard missing at Auditorium gate,safety
Router issue near Student Center with no internet access,wifi
Security concern reported near Canteen,safety
Fire extinguisher missing in Sports Complex block,safety
No water supply in Parking Area hostel block,plumbing
Water leakage in Parking Area washroom,plumbing
Short circuit smell near Science Block,electrical
Tap is broken in Hostel 2 corridor,plumbing
Mess food quality problem at Lecture Hall 1,hostel
The campus WiFi keeps disconnecting in Block B,wifi
Unsafe wiring exposed near Canteen,safety
Noise disturbance in Reading Room hostel at night,hostel
No water supply in Block C hostel block,plumbing
Fire extinguisher missing in Laboratory block,safety
Pest problem found in Parking Area room,hostel
WiFi is not working in Hostel 1,wifi
Short circuit smell near Administrative Block,electrical
Unable to connect to campus internet in Canteen,wifi
Slow internet speed in Reading Room computer lab,wifi
Furniture arrangement problem in Student Center,other
Main switch issue reported at Block A,electrical
No water supply in Engineering Block hostel block,plumbing
Library book request issue from Library,other
Internet connection is unstable in Medical Center,wifi
Hostel gate closes too early at Computer Lab,hostel
WiFi signal is weak near Lecture Hall 1,wifi
Pipe burst near Auditorium building,plumbing
Water leakage in Hostel 1 washroom,plumbing
Canal or drainage complaint around Main Building,other
Unable to connect to campus internet in Lecture Hall 2,wifi
Security guard missing at Laboratory gate,safety
Noise disturbance in Workshop hostel at night,hostel
Unsafe wiring exposed near Auditorium,safety
WiFi signal is weak near Hostel 1,wifi
No water supply in Sports Complex hostel block,plumbing
Tap is broken in Parking Area corridor,plumbing
Washroom flooding in Laboratory area,plumbing
Canal or drainage complaint around Hostel 1,other
Slow internet speed in Library computer lab,wifi
General maintenance request for Block C,other
Unsafe wiring exposed near Hostel 1,safety
No water supply in Auditorium hostel block,plumbing
Router issue near Block C with no internet access,wifi
Hostel gate closes too early at Reading Room,hostel
CCTV not working at Science Block,safety
Fire extinguisher missing in Girls Hostel block,safety
Internet connection is unstable in Block A,wifi
Parking issue near Reading Room,other
Router issue near Library with no internet access,wifi
Hostel room cleanliness issue in Hostel 2,hostel
Hostel room cleanliness issue in Lecture Hall 1,hostel
Internet connection is unstable in Workshop,wifi
Internet connection is unstable in Workshop,wifi
Short circuit smell near Lecture Hall 2,electrical
General service request from Auditorium,other
Tap is broken in Laboratory corridor,plumbing
Students are ragging and beating a junior in Engineering Block,safety
Tap is broken in Business Block corridor,plumbing
Library book request issue from Reading Room,other
General service request from Workshop,other
Library book request issue from Girls Hostel,other
Internet connection is unstable in Block C,wifi
Toilet is not flushing in Laboratory,plumbing
Socket is damaged near Boys Hostel,electrical
Short circuit smell near Boys Hostel,electrical
Bathroom drain is blocked in Reading Room,plumbing
Furniture damaged in Boys Hostel hostel room,hostel
Furniture damaged in Business Block hostel room,hostel
General service request from Auditorium,other
Emergency exit blocked near Administrative Block,safety
Water is leaking from the ceiling in Engineering Block,plumbing
Socket is damaged near Sports Complex,electrical
Canal or drainage complaint around Science Block,other
Unsafe wiring exposed near Block C,safety
Fan stopped working in Girls Hostel room,electrical
Students are ragging and beating a junior in Laboratory,safety
Library book request issue from Block C,other
Laundry service delay at Block A,hostel
No network connectivity in Block D hostel room,wifi
Socket is damaged near Block D,electrical
Main switch issue reported at Auditorium,electrical
Power outage in Library,electrical
AC is not cooling in Block C,electrical
Physical assault and bullying incident reported in Student Center,safety
CCTV not working at Lecture Hall 1,safety
Short circuit smell near Business Block,electrical
No water supply in Engineering Block hostel block,plumbing
Unable to connect to campus internet in Computer Lab,wifi
Slow internet speed in Auditorium computer lab,wifi
Main switch issue reported at Computer Lab,electrical
Canal or drainage complaint around Workshop,other
Laundry service delay at Engineering Block,hostel
Fire extinguisher missing in Block D block,safety
Laundry service delay at Reading Room,hostel
Tap is broken in Hostel 2 corridor,plumbing
Physical assault and bullying incident reported in Main Building,safety
Poor lighting and unsafe path near Administrative Block,safety
Furniture arrangement problem in Block D,other
Socket is damaged near Block C,electrical
Fan stopped working in Reading Room room,electrical
Fan stopped working in Block C room,electrical
Students fighting and harassing others in Engineering Block washroom,safety
Mess food quality problem at Auditorium,hostel
Tap is broken in Workshop corridor,plumbing
Short circuit smell near Boys Hostel,electrical
WiFi is not working in Science Block,wifi
Router issue near Business Block with no internet access,wifi
Parking issue near Lecture Hall 2,other
Socket is damaged near Block D,electrical
Hostel room cleanliness issue in Reading Room,hostel
Router issue near Business Block with no internet access,wifi
Notice board is outdated at Block C,other
Hostel gate closes too early at Medical Center,hostel
Mess food quality problem at Hostel 1,hostel
Students are ragging and beating a junior in Block C,safety
CCTV not working at Medical Center,safety
Furniture arrangement problem in Computer Lab,other
Parking issue near Boys Hostel,other
Fan stopped working in Block C room,electrical
Router issue near Main Building with no internet access,wifi
Unsafe wiring exposed near Business Block,safety
Toilet is not flushing in Reading Room,plumbing
Laundry service delay at Lecture Hall 2,hostel
No network connectivity in Reading Room hostel room,wifi
Security concern reported near Block B,safety
Parking issue near Laboratory,other
Pipe burst near Girls Hostel building,plumbing
Hostel room cleanliness issue in Main Building,hostel
AC is not cooling in Computer Lab,electrical
Water leakage in Business Block washroom,plumbing
Laundry service delay at Engineering Block,hostel
AC is not cooling in Girls Hostel,electrical
Furniture damaged in Auditorium hostel room,hostel
Hostel room cleanliness issue in Girls Hostel,hostel
Unable to connect to campus internet in Canteen,wifi
Electrical spark seen near Medical Center,electrical
Furniture arrangement problem in Hostel 2,other
WiFi is not working in Lecture Hall 2,wifi
General service request from Block C,other
Toilet is not flushing in Hostel 1,plumbing
Students are ragging and beating a junior in Canteen,safety
Notice board is outdated at Science Block,other
No water supply in Canteen hostel block,plumbing
No network connectivity in Parking Area hostel room,wifi
Internet connection is unstable in Boys Hostel,wifi
Slow internet speed in Hostel 1 computer lab,wifi
General service request from Hostel 1,other
Students fighting and harassing others in Lecture Hall 1 washroom,safety
Ragging incident near Laboratory hostel block,safety
Light is not working in Medical Center,electrical
General service request from Block B,other
Socket is damaged near Student Center,electrical
Library book request issue from Block C,other
Security guard missing at Canteen gate,safety
Slow internet speed in Workshop computer lab,wifi
Bathroom drain is blocked in Student Center,plumbing
General maintenance request for Girls Hostel,other
General service request from Canteen,other
The campus WiFi keeps disconnecting in Reading Room,wifi
General maintenance request for Lecture Hall 2,other
Furniture arrangement problem in Lecture Hall 1,other
Water leakage in Sports Complex washroom,plumbing
General service request from Lecture Hall 2,other
Room maintenance issue reported in Workshop,hostel
Internet connection is unstable in Block B,wifi
Short circuit smell near Lecture Hall 2,electrical
Main switch issue reported at Block C,electrical
Water leakage in Girls Hostel washroom,plumbing
Laundry service delay at Canteen,hostel
AC is not cooling in Boys Hostel,electrical
Notice board is outdated at Administrative Block,other
Hostel gate closes too early at Boys Hostel,hostel
Router issue near Lecture Hall 1 with no internet access,wifi
Water leakage in Sports Complex washroom,plumbing
Security concern reported near Administrative Block,safety
Water leakage in Block B washroom,plumbing
Unsafe wiring exposed near Laboratory,safety
Mess food quality problem at Block C,hostel
Mess food quality problem at Computer Lab,hostel
Tap is broken in Main Building corridor,plumbing
General maintenance request for Computer Lab,other
Short circuit smell near Auditorium,electrical
Emergency exit blocked near Hostel 1,safety
Socket is damaged near Student Center,electrical
Security concern reported near Student Center,safety
CCTV not working at Auditorium,safety
Broken staircase railing near Student Center,safety
Socket is damaged near Girls Hostel,electrical
Furniture damaged in Computer Lab hostel room,hostel
WiFi is not working in Student Center,wifi
General service request from Block C,other
Canal or drainage complaint around Canteen,other
CCTV not working at Block B,safety
Pipe burst near Lecture Hall 2 building,plumbing
Ragging incident near Computer Lab hostel block,safety
Hostel gate closes too early at Lecture Hall 1,hostel
Slow internet speed in Computer Lab computer lab,wifi
WiFi signal is weak near Lecture Hall 2,wifi
Hostel gate closes too early at Lecture Hall 1,hostel
Power outage in Hostel 2,electrical
Hostel room cleanliness issue in Block B,hostel
Toilet is not flushing in Lecture Hall 1,plumbing
No network connectivity in Hostel 2 hostel room,wifi
Router issue near Main Building with no internet access,wifi
Students fighting and harassing others in Engineering Block washroom,safety
Power outage in Lecture Hall 1,electrical
Hostel room cleanliness issue in Science Block,hostel
Slow internet speed in Auditorium computer lab,wifi
Furniture damaged in Block A hostel room,hostel
No water supply in Block C hostel block,plumbing
Pest problem found in Lecture Hall 1 room,hostel
Main switch issue reported at Block D,electrical
Room maintenance issue reported in Sports Complex,hostel
Main switch issue reported at Canteen,electrical
Library book request issue from Sports Complex,other
WiFi signal is weak near Library,wifi
Library book request issue from Workshop,other
Security concern reported near Administrative Block,safety
Socket is damaged near Business Block,electrical
Socket is damaged near Auditorium,electrical
WiFi signal is weak near Canteen,wifi
Water is leaking from the ceiling in Hostel 2,plumbing
Noise disturbance in Main Building hostel at night,hostel
Socket is damaged near Lecture Hall 2,electrical
Notice board is outdated at Lecture Hall 1,other
WiFi signal is weak near Sports Complex,wifi
Hostel gate closes too early at Boys Hostel,hostel
Laundry service delay at Lecture Hall 1,hostel
Unable to connect to campus internet in Girls Hostel,wifi
Short circuit smell near Hostel 1,electrical
Router issue near Administrative Block with no internet access,wifi
General service request from Sports Complex,other
Campus signage missing near Business Block,other
Students are ragging and beating a junior in Medical Center,safety
Pest problem found in Engineering Block room,hostel
Notice board is outdated at Auditorium,other
Pipe burst near Laboratory building,plumbing
Fan stopped working in Hostel 2 room,electrical
Students fighting and harassing others in Parking Area washroom,safety
Slow internet speed in Block C computer lab,wifi
Canal or drainage complaint around Business Block,other
General maintenance request for Reading Room,other
No water supply in Administrative Block hostel block,plumbing
Socket is damaged near Science Block,electrical
AC is not cooling in Boys Hostel,electrical
Canal or drainage complaint around Block C,other
Notice board is outdated at Auditorium,other
Washroom flooding in Block B area,plumbing
Bathroom drain is blocked in Sports Complex,plumbing
Short circuit smell near Boys Hostel,electrical
Broken staircase railing near Workshop,safety
Tap is broken in Engineering Block corridor,plumbing
Security concern reported near Canteen,safety
Pest problem found in Computer Lab room,hostel
